siteID,scientificName,dw,estimatedTotalCount,year,season
ARIK,Chrysops sp.,0.3235946148122146,3,2019,spring
ARIK,Chrysops sp.,1.0936444683388589,3,2019,spring
ARIK,Chrysops sp.,1.0936444683388589,3,2019,spring
ARIK,Chrysops sp.,0.08613728428525425,3,2019,spring
ARIK,Chrysops sp.,0.18151287758975268,5,2019,spring
ARIK,Chrysops sp.,0.08613728428525425,1,2019,spring
ARIK,Chrysops sp.,1.483926348807742,3,2019,spring
ARIK,Cladopelma sp.,0.001,1,2019,spring
ARIK,Cladopelma sp.,0.006088133523357432,1,2019,spring
ARIK,Cladopelma sp.,0.006088133523357432,2,2019,spring
ARIK,Cladopelma sp.,0.01751370337085492,2,2019,spring
ARIK,Cladopelma sp.,0.01751370337085492,8,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,16,2019,spring
ARIK,Pisidium sp.,0.0163,2,2019,spring
ARIK,Pisidium sp.,0.0163,3,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,2,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,1,2019,spring
ARIK,Pisidium sp.,0.0163,1,2019,spring
ARIK,Pisidium sp.,0.24775187637481175,3,2019,spring
ARIK,Pisidium sp.,0.24775187637481175,5,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,6,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,21,2019,spring
ARIK,Pisidium sp.,0.24775187637481175,1,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,1,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,5,2019,spring
ARIK,Pisidium sp.,0.24775187637481175,2,2019,spring
ARIK,Pisidium sp.,0.09074838474738778,24,2019,spring
ARIK,Polypedilum scalaenum gr.,0.02076499277232634,21,2019,spring
ARIK,Polypedilum scalaenum gr.,0.02076499277232634,40,2019,spring
ARIK,Polypedilum scalaenum gr.,0.0067786594795689464,5,2019,spring
ARIK,Polypedilum scalaenum gr.,0.02076499277232634,35,2019,spring
ARIK,Polypedilum scalaenum gr.,0.0067786594795689464,8,2019,spring
ARIK,Polypedilum scalaenum gr.,0.0067786594795689464,5,2019,spring
ARIK,Procladius sp.,0.038537621552854,2,2019,spring
ARIK,Simulium sp.,0.04384899497219751,8,2019,spring
ARIK,Simulium sp.,0.1493971170399488,6,2019,spring
